region,cropland,pasture,primary,secondary,urban
aus,0.000,0.000,0.000,0.000,1.193
xoc,0.291,0.000,0.011,1.058,0.422
chn,0.119,0.000,0.100,2.672,0.408
jpn,0.000,0.000,0.000,0.000,0.000
kor,0.518,0.000,0.003,1.044,0.139
xea,0.411,0.000,0.005,0.125,0.520
mys,0.000,0.000,0.000,0.321,0.064
phl,0.499,0.000,0.056,0.438,0.137
tha,0.243,0.000,0.004,0.413,0.226
vnm,0.051,0.000,0.000,0.000,0.076
idn,0.000,0.000,0.000,0.466,0.055
xse,0.041,0.000,0.000,0.000,1.282
ind,0.442,0.000,0.008,0.046,0.564
xsa,1.639,0.000,0.000,0.341,0.199
can,0.000,0.000,0.000,0.018,0.388
usa,0.164,0.000,0.000,0.078,0.418
mex,1.481,0.000,0.238,0.733,0.007
bra,0.000,0.000,0.000,0.000,0.204
xsm,0.000,0.000,0.000,0.196,0.980
fra,0.124,0.000,0.000,0.000,0.321
deu,0.317,0.000,0.005,0.034,0.790
gbr,0.743,0.000,0.012,0.138,0.321
rus,0.232,0.000,0.110,0.844,0.245
e25,0.000,0.000,0.000,0.000,0.819
xsu,3.041,0.000,0.026,0.137,0.077
xer,0.417,0.000,0.417,0.000,0.052
xws,0.000,0.000,0.000,3.717,0.040
xnf,0.925,0.000,0.009,2.112,0.780
ssa,0.057,0.000,0.000,0.000,0.115
xtw,0.990,0.000,0.028,0.182,0.149